STATE,STCNTY,COUNTYNAME,POP19,TAXFILERS,NUMDEP,NUMELDER,INCOME,NUMFARM,INCTAX,TEMPERATURE
MT,MT Wheatland County,Wheatland County,2126,130,60,60,6521000,30,371000,42.83129506
MT,MT Wibaux County,Wibaux County,969,420,240,160,22267000,110,1627000,42.47664641
MT,MT Yellowstone County,Yellowstone County,161300,76330,40900,20580,5187479000,1130,557636000,47.64630307
NC,NC Alamance County,Alamance County,169509,76710,48920,18660,4328708000,660,401898000,59.52276087
NC,NC Alexander County,Alexander County,37497,14790,8630,3840,736055000,440,57839000,57.85010286
NC,NC Alleghany County,Alleghany County,11137,4780,2470,1690,251889000,360,23840000,51.69951776
NC,NC Anson County,Anson County,24446,9220,6420,2290,367326000,240,23606000,61.46103519
NC,NC Ashe County,Ashe County,27203,10980,5600,3710,543472000,630,43754000,50.92885237
NC,NC Avery County,Avery County,17557,4390,2340,1300,188597000,180,12346000,47.38967824
NC,NC Beaufort County,Beaufort County,46994,20950,12980,6930,1133768000,170,101422000,62.20811624
NC,NC Bertie County,Bertie County,18947,6140,4080,1740,253460000,130,18181000,61.34786884
NC,NC Bladen County,Bladen County,32722,33490,27040,6950,1622983000,410,125291000,62.44877785
NC,NC Brunswick County,Brunswick County,142820,64220,25390,29310,4501570000,170,479589000,62.73698471
NC,NC Buncombe County,Buncombe County,261191,122310,55370,34240,8221173000,910,937503000,53.37117869
NC,NC Burke County,Burke County,90485,31400,18540,8100,1495070000,280,117448000,58.83160597
NC,NC Cabarrus County,Cabarrus County,216453,96880,68860,19080,6187472000,530,615524000,60.69744865
NC,NC Caldwell County,Caldwell County,82178,32780,19220,8200,1526368000,250,120006000,58.43148315
NC,NC Camden County,Camden County,10867,4410,2910,1190,275494000,20,22875000,61.41336778
NC,NC Carteret County,Carteret County,69473,34880,16290,12700,2348605000,100,249018000,63.81337506
NC,NC Caswell County,Caswell County,22604,6460,3920,1960,291005000,220,20816000,57.16005286
NC,NC Catawba County,Catawba County,159551,75960,45660,18760,4591045000,490,477926000,58.92891761
NC,NC Chatham County,Chatham County,74470,23300,14360,7480,1696093000,820,186227000,59.99158741
NC,NC Cherokee County,Cherokee County,28612,11440,5660,4270,521931000,170,39704000,57.18913703
NC,NC Chowan County,Chowan County,13943,6210,3750,2100,355256000,90,33686000,61.92695652
